sire	litter	koen	lgt	vgt
S67	L139	H	52	2900
S67	L139	T	43	1770
S47	L245	H	52	3280
S47	L245	T	42	1790
S47	L245	H	51	3360
S47	L245	H	53	3410
S47	L245	H	49	3330
S47	L245	H	50	2910
S11	L128	H	48	3080
S11	L128	T	44	1930
S11	L128	H	49	2640
S11	L128	H	54	3950
S11	L128	T	43	1630
S11	L128	H	53	3100
S11	L128	H	52	3000
S67	L216	H	51	3290
S67	L216	H	50	3230
S67	L216	T	44	1820
S67	L216	H	54.5	3580
S66	L168	T	43	2000
S66	L168	T	44	2070
S66	L168	H	52.5	3890
S66	L168	H	53	3560
S66	L168	T	45	2270
S11	L296	T	42	1760
S11	L296	H	53	3670
S11	L296	H	52	3260
S11	L296	H	54	3500
