lamb sheep prenatal postnatal time glu baseline
1141 861 LOW HCHF 30 6.4802 3.4108
1141 861 LOW HCHF 60 4.5109 3.4108
1142 861 LOW CONV 2.5 9.4644 4.4623
1142 861 LOW CONV 10 7.3979 4.4623
1142 861 LOW CONV 20 5.5928 4.4623
1142 861 LOW CONV 30 4.3772 4.4623
1142 861 LOW CONV 60 3.4108 4.4623
1143 844 LOW CONV 2.5 9.9445 3.6175
1143 844 LOW CONV 10 7.7747 3.6175
1143 844 LOW CONV 20 6.0365 3.6175
1143 844 LOW CONV 30 5.3558 3.6175
1143 844 LOW CONV 60 4.8027 3.6175
1145 577 LOW CONV 2.5 9.4461 3.2771
1145 577 LOW CONV 10 6.7719 3.2771
1145 577 LOW CONV 20 5.5928 3.2771
1145 577 LOW CONV 30 4.4015 3.2771
1145 577 LOW CONV 60 2.3472 3.2771
1146 577 LOW HCHF 2.5 9.5859 3.1495
1146 577 LOW HCHF 10 7.9935 3.1495
1146 577 LOW HCHF 20 6.8023 3.1495
1146 577 LOW HCHF 30 6.2249 3.1495
1146 577 LOW HCHF 60 4.6629 3.1495
1148 718 LOW CONV 2.5 8.4829 3.2483
1148 718 LOW CONV 10 7.3821 3.2483
1148 718 LOW CONV 20 5.7687 3.2483
1148 718 LOW CONV 30 5.0321 3.2483
1148 718 LOW CONV 60 3.6306 3.2483
1149 940 LOW CONV 2.5 8.7916 3.9631
1149 940 LOW CONV 10 7.0734 3.9631
1149 940 LOW CONV 30 4.9882 3.9631
1149 940 LOW CONV 60 3.4395 3.9631
1151 721 LOW HCHF 2.5 9.8342 3.8466
1151 721 LOW HCHF 10 8.547 3.8466
1151 721 LOW HCHF 20 6.4211 3.8466
1151 721 LOW HCHF 30 4.5746 3.8466
1151 721 LOW HCHF 60 2.8024 3.8466
1152 721 LOW CONV 2.5 8.081 3.4447
1152 721 LOW CONV 10 6.6715 3.4447
1152 721 LOW CONV 30 4.1553 3.4447
1152 721 LOW CONV 60 2.6759 3.4447
1153 743 LOW CONV 2.5 9.3333 3.4564
1153 743 LOW CONV 10 6.7181 3.4564
1153 743 LOW CONV 20 5.1513 3.4564
1153 743 LOW CONV 30 4.0621 3.4564
1153 743 LOW CONV 60 3.4739 3.4564
1154 743 LOW HCHF 2.5 8.1015 2.7792
1154 743 LOW HCHF 10 9.3326 2.7792
1154 743 LOW HCHF 20 6.2309 2.7792
1154 743 LOW HCHF 30 6.48 2.7792
1154 743 LOW HCHF 60 4.2503 2.7792
